timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
956,1,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
957,1,TRANSIT_TO,2,45.4928668,-122.40211635,22.263518334838864
958,1,TRANSIT_TO,2,45.4929476,-122.4023777,44.52703666967773
959,1,TRANSIT_TO,2,45.4930284,-122.40263904999999,66.79055500451659
960,1,TRANSIT_TO,2,45.4931092,-122.4029004,89.05407333935545
961,1,TRANSIT_TO,2,45.493190000000006,-122.40316175,111.31759167419432
962,1,TRANSIT_TO,2,45.493270800000005,-122.4034231,133.58111000903318
963,1,TRANSIT_TO,2,45.493351600000004,-122.40368445,155.84462834387205
964,1,TRANSIT_TO,2,45.4934324,-122.4039458,178.1081466787109
965,1,TRANSIT_TO,2,45.4935132,-122.40420714999999,200.37166501354977
966,1,TRANSIT_TO,2,45.493594,-122.4044685,222.63518334838864
967,1,TRANSIT_TO,2,45.4936748,-122.40472985,244.8987016832275
968,1,TRANSIT_TO,2,45.4937556,-122.4049912,267.16222001806636
969,1,TRANSIT_TO,2,45.4938364,-122.40525255,289.4257383529052
970,1,TRANSIT_TO,2,45.493917200000006,-122.4055139,311.6892566877441
971,1,TRANSIT_TO,2,45.493998000000005,-122.40577524999999,333.95277502258295
972,1,TRANSIT_TO,2,45.494078800000004,-122.4060366,356.2162933574218
973,1,TRANSIT_TO,2,45.4941596,-122.40629795,378.4798116922607
974,1,TRANSIT_TO,2,45.4942404,-122.4065593,400.74333002709955
975,1,TRANSIT_TO,2,45.4943212,-122.40682065,423.0068483619384
976,1,TRANSIT_TO,2,45.494402,-122.407082,445.2703666967773
977,1,TRANSIT_TO,2,45.4944828,-122.40734334999999,467.53388503161614
978,1,TRANSIT_TO,2,45.4945636,-122.4076047,489.797403366455
979,1,TRANSIT_TO,2,45.494644400000006,-122.40786605,512.0609217012939
980,1,TRANSIT_TO,2,45.494725200000005,-122.4081274,534.3244400361327
981,1,TRANSIT_TO,2,45.494806000000004,-122.40838875,556.5879583709716
982,1,TRANSIT_TO,2,45.4948868,-122.4086501,578.8514767058105
983,1,TRANSIT_TO,2,45.4949676,-122.40891144999999,601.1149950406493
984,1,TRANSIT_TO,2,45.4950484,-122.4091728,623.3785133754882
985,1,TRANSIT_TO,2,45.4951292,-122.40943415,645.642031710327
986,1,TRANSIT_TO,2,45.49521,-122.4096955,667.9055500451659
987,1,TRANSIT_TO,2,45.4952908,-122.40995685,690.1690683800048
988,1,TRANSIT_TO,2,45.495371600000006,-122.4102182,712.4325867148436
989,1,TRANSIT_TO,2,45.495452400000005,-122.41047954999999,734.6961050496825
990,1,TRANSIT_TO,2,45.495533200000004,-122.4107409,756.9596233845214
991,1,TRANSIT_TO,2,45.495614,-122.41100225,779.2231417193602
992,1,TRANSIT_TO,2,45.4956948,-122.4112636,801.4866600541991
993,1,TRANSIT_TO,2,45.4957756,-122.41152495,823.750178389038
994,1,TRANSIT_TO,2,45.4958564,-122.4117863,846.0136967238768
995,1,TRANSIT_TO,2,45.4959372,-122.41204764999999,868.2772150587157
996,1,TRANSIT_TO,2,45.496018,-122.412309,890.5407333935545
997,1,TRANSIT_TO,2,45.496098800000006,-122.41257035,912.8042517283934
998,1,TRANSIT_TO,2,45.496179600000005,-122.4128317,935.0677700632323
999,1,TRANSIT_TO,2,45.496260400000004,-122.41309305,957.3312883980711
1000,1,TRANSIT_TO,2,45.4963412,-122.4133544,979.59480673291
1001,1,TRANSIT_TO,2,45.496422,-122.41361574999999,1001.8583250677489
1002,1,TRANSIT_TO,2,45.4965028,-122.4138771,1024.1218434025877
1003,1,TRANSIT_TO,2,45.4965836,-122.41413845,1046.3853617374266
1004,1,TRANSIT_TO,2,45.4966644,-122.4143998,1068.6488800722655
1005,1,TRANSIT_TO,2,45.4967452,-122.41466115,1090.9123984071043
1006,1,TRANSIT_TO,2,45.496826,-122.4149225,1113.1759167419432
1007,1,TRANSIT_TO,2,45.496906800000005,-122.41518384999999,1135.439435076782
